,index,variable,value
0,0,Linear Regression,0.0034094390265600894
1,1,Linear Regression,0.003254130365214321
2,2,Linear Regression,0.003458687778365286
3,3,Linear Regression,0.0033269970238790788
4,4,Linear Regression,0.003420928399187222
5,5,Linear Regression,0.003260590684867785
6,6,Linear Regression,0.003484378779321815
7,7,Linear Regression,0.0033488284550952994
8,8,Linear Regression,0.0034977115584154065
9,9,Linear Regression,0.00327369204010028
10,10,Linear Regression,0.003357148354595965
11,11,Linear Regression,0.0033330344625864985
12,12,Linear Regression,0.0034497477363010453
13,13,Linear Regression,0.003431903036325804
14,14,Linear Regression,0.003292908344981009
15,0,Decision Tree,0.001163071386249424
16,1,Decision Tree,0.0008558449823344818
17,2,Decision Tree,0.0009655686980183897
18,3,Decision Tree,0.0009655686980183897
19,4,Decision Tree,0.0005705633215563212
20,5,Decision Tree,0.000636397550966666
21,6,Decision Tree,0.000899734468608045
22,7,Decision Tree,0.0006583422941034476
23,8,Decision Tree,0.0011191818999758609
24,9,Decision Tree,0.0008558449823344818
25,10,Decision Tree,0.0010752924137022975
26,11,Decision Tree,0.0007022317803770107
27,12,Decision Tree,0.0009216792117448265
28,13,Decision Tree,0.0009436239548816081
29,14,Decision Tree,0.000790010752924137
30,0,Random Forest,0.0010856064429765851
31,1,Random Forest,0.0008992955737453092
32,2,Random Forest,0.0010634422524084355
33,3,Random Forest,0.0009556935636068379
34,4,Random Forest,0.0008595755886677347
35,5,Random Forest,0.0008834953586868266
36,6,Random Forest,0.00099870526015493
37,7,Random Forest,0.0009631547762733437
38,8,Random Forest,0.0010384252452325048
39,9,Random Forest,0.0009646909082929186
40,10,Random Forest,0.0010256972942131715
41,11,Random Forest,0.0009260681603721829
42,12,Random Forest,0.0009047817595295048
43,13,Random Forest,0.0011062345015251595
44,14,Random Forest,0.0009348460576268955
45,0,K-Nearest Neighbors,0.0025236454607298823
46,1,K-Nearest Neighbors,0.0018872479097632163
47,2,K-Nearest Neighbors,0.0025412012552393074
48,3,K-Nearest Neighbors,0.0021856964164234456
49,4,K-Nearest Neighbors,0.0023744212073997673
50,5,K-Nearest Neighbors,0.002040861111720687
51,6,K-Nearest Neighbors,0.002286642234852641
52,7,K-Nearest Neighbors,0.00233492066975356
53,8,K-Nearest Neighbors,0.002655313919550572
54,9,K-Nearest Neighbors,0.0020979174438763193
55,10,K-Nearest Neighbors,0.002440255436810112
56,11,K-Nearest Neighbors,0.0022646974917158594
57,12,K-Nearest Neighbors,0.0022208080054422962
58,13,K-Nearest Neighbors,0.002378810156027124
59,14,K-Nearest Neighbors,0.002150584827404595
60,0,Bagging,0.0010423752989971251
61,1,Bagging,0.0009041234172354015
62,2,Bagging,0.0011433211174263205
63,3,Bagging,0.0009458184291952863
64,4,Bagging,0.0008975399942943669
65,5,Bagging,0.0009041234172354013
66,6,Bagging,0.0009238736860585047
67,7,Bagging,0.0009853189668414932
68,8,Bagging,0.0009984858127235622
69,9,Bagging,0.0010423752989971251
70,10,Bagging,0.001040180824683447
71,11,Bagging,0.0009611797493910334
72,12,Bagging,0.0008975399942943669
73,13,Bagging,0.001081875836643332
74,14,Bagging,0.000871206302530229
75,0,Gradient Boosting,0.0010948904701715038
76,1,Gradient Boosting,0.000922373855761839
77,2,Gradient Boosting,0.0011243747215971497
78,3,Gradient Boosting,0.0009795621782231207
79,4,Gradient Boosting,0.0010022304502010282
80,5,Gradient Boosting,0.0008926699617140174
81,6,Gradient Boosting,0.0010602816459253984
82,7,Gradient Boosting,0.0010004466179309942
83,8,Gradient Boosting,0.0011366736206230876
84,9,Gradient Boosting,0.001045465027348934
85,10,Gradient Boosting,0.0011357633180539678
86,11,Gradient Boosting,0.0009706862327220418
87,12,Gradient Boosting,0.0009585804225169715
88,13,Gradient Boosting,0.0011450811482308719
89,14,Gradient Boosting,0.000957340585255583
90,0,LightGBM,0.0012602881088094498
91,1,LightGBM,0.0010927191385811323
92,2,LightGBM,0.0012797424373521195
93,3,LightGBM,0.0010971422485656743
94,4,LightGBM,0.0011344167330652006
95,5,LightGBM,0.0011176657379780225
96,6,LightGBM,0.0012369881522528298
97,7,LightGBM,0.001176105592562613
98,8,LightGBM,0.00123514430658554
99,9,LightGBM,0.001145884541192217
100,10,LightGBM,0.0012473406172029294
101,11,LightGBM,0.0011374417801552899
102,12,LightGBM,0.0011826448112725236
103,13,LightGBM,0.0013005668046590197
104,14,LightGBM,0.0010707790372612733
105,0,Ridge,0.0034094278051060487
106,1,Ridge,0.0032541140392343747
107,2,Ridge,0.003458674999487838
108,3,Ridge,0.0033269862490718704
109,4,Ridge,0.0034209173983879427
110,5,Ridge,0.0032605816309211385
111,6,Ridge,0.0034843638524899166
112,7,Ridge,0.0033488143891965178
113,8,Ridge,0.00349770058294827
114,9,Ridge,0.003273678821749941
115,10,Ridge,0.0033571352919855133
116,11,Ridge,0.0033330212960436855
117,12,Ridge,0.0034497330590222653
118,13,Ridge,0.003431893066567083
119,14,Ridge,0.0032928971414351734
120,0,Lasso,0.003651164513382568
121,1,Lasso,0.003183318734404354
122,2,Lasso,0.0036621843112108585
123,3,Lasso,0.003424153940081834
124,4,Lasso,0.003644733179347526
125,5,Lasso,0.0033275774778432255
126,6,Lasso,0.003475831283381261
127,7,Lasso,0.0035614810979006763
128,8,Lasso,0.0038697243404624292
129,9,Lasso,0.0033312352099982077
130,10,Lasso,0.003669908652146006
131,11,Lasso,0.0034473225443347744
132,12,Lasso,0.003476733762648111
133,13,Lasso,0.003575658908179074
134,14,Lasso,0.003396586077602975
